"Title","Wales population mid-year estimate"
"CDID","WAPOP"
"Source dataset ID","pop"
"PreUnit",""
"Unit",""
"Release date","25-06-2021"
"Next release","September 2022"
"Important notes",
"1971","2740300"
"1972","2755200"
"1973","2772800"
"1974","2785200"
"1975","2795400"
"1976","2799300"
"1977","2800600"
"1978","2804300"
"1979","2810100"
"1980","2815800"
"1981","2813500"
"1982","2804300"
"1983","2803300"
"1984","2800700"
"1985","2803400"
"1986","2810900"
"1987","2822600"
"1988","2841200"
"1989","2855200"
"1990","2861500"
"1991","2873000"
"1992","2877700"
"1993","2883600"
"1994","2887400"
"1995","2888500"
"1996","2891300"
"1997","2894900"
"1998","2899500"
"1999","2900600"
"2000","2906900"
"2001","2910200"
"2002","2922900"
"2003","2937700"
"2004","2957400"
"2005","2969300"
"2006","2985700"
"2007","3006300"
"2008","3025900"
"2009","3038900"
"2010","3050000"
"2011","3063800"
"2012","3074100"
"2013","3082400"
"2014","3092000"
"2015","3099100"
"2016","3113200"
"2017","3125200"
"2018","3138600"
"2019","3152900"
"2020","3170000"
