,coroner area,Number of reports
0,Manchester South,326
1,Inner North London,208
2,Birmingham and Solihull,126
3,Surrey,118
4,Inner South London,110
5,Manchester West,105
6,South Wales Central,105
7,Manchester North,95
8,East London,95
9,West Yorkshire (Eastern),88
10,Norfolk,87
11,Nottinghamshire,79
12,Avon,77
13,Black Country,75
14,Cornwall and Isles of Scilly,71
15,West Sussex,68
16,North Wales (East and Central),67
17,County Durham and Darlington,66
18,"Hampshire, Portsmouth and Southampton",66
19,West Yorkshire (Western),64
21,Leicester City and South Leicestershire,61
20,Brighton and Hove,61
22,Staffordshire South,60
23,South Yorkshire (Western),60
24,Inner West London,59
25,North London,59
26,Bedfordshire and Luton,58
27,Manchester City,56
28,Milton Keynes,54
29,Essex,54
30,Wiltshire and Swindon,52
31,Cumbria,52
32,Lincolnshire,49
33,Mid Kent and Medway,48
34,Liverpool and the Wirral,46
35,"Plymouth, Torbay and South Devon",45
36,Lancashire and Blackburn with Darwen,45
37,South Yorkshire (Eastern),44
38,Exeter and Greater Devon,43
39,Dorset,43
40,Stoke-on-Trent and North Staffordshire,40
41,Suffolk,40
43,Worcestershire,39
42,West London,39
44,Sunderland,38
45,Blackpool and the Fylde,37
46,South London,36
47,Berkshire,36
48,Gloucestershire,33
49,Derby and Derbyshire,32
50,Warwickshire,31
51,Hertfordshire,29
53,Cambridgeshire and Peterborough,26
54,Oxfordshire,26
52,Gwent,26
55,Cheshire,25
56,Central and South East Kent,23
57,Carmarthenshire and Pembrokeshire,21
58,"Shropshire, Telford and Wrekin",21
59,Coventry,19
60,Isle of Wight,19
61,Buckinghamshire,18
62,Newcastle upon Tyne,17
63,Northamptonshire,17
64,Swansea and Neath Port Talbot,17
65,North East Kent,14
66,East Sussex,13
67,Teesside and Hartlepool,13
68,Somerset,13
69,North Northumberland,12
70,North West Wales,11
71,East Riding and Hull,10
72,North Yorkshire (Western),9
73,City of London,8
76,Gateshead and South Tyneside,7
74,North West Kent,7
75,Rutland and North Leicestershire,7
79,North Tyneside,4
80,North Lincolnshire and Grimsby,4
77,South Northumberland,4
78,North Yorkshire (Eastern),4
81,York City,3
82,"Sefton, Knowsley and St Helens",2
83,Herefordshire,2
84,Ceredigion,1
